Section,d[mm],t[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]",Wt[cm3],"Wpl,y[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2],Source
Celsius 355 CHS 21.3x2.6,21.3,2.6,1.53,0.68,1.36,6.7,9.4,0.22,0.64,0.81,1.36,0,1.36,1.28,0.92,1.43,0.97,35.87,13.19,0.21,1.2,0.07,153,437.91,2.75,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 21.3x2.9,21.3,2.9,1.68,0.73,1.45,6.6,9.3,0.24,0.68,0.9,1.45,0,1.45,1.37,0.99,1.45,1.07,39.36,14.48,0.23,1.3,0.07,168,398.81,2.66,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 21.3x3.2,21.3,3.2,1.82,0.77,1.54,6.5,9.2,0.25,0.72,0.99,1.54,0,1.54,1.44,1.06,1.47,1.16,42.72,15.72,0.25,1.4,0.07,182,368.13,2.57,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x2.6,26.9,2.6,1.98,1.48,2.96,8.6,12.2,0.37,1.1,1.03,2.96,0.01,2.95,2.2,1.54,1.4,1.26,46.61,17.14,0.36,1.6,0.09,198,429.29,4.64,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x2.9,26.9,2.9,2.19,1.6,3.2,8.6,12.1,0.41,1.19,1.15,3.19,0.01,3.18,2.38,1.68,1.41,1.39,51.35,18.89,0.39,1.7,0.09,219,388.13,4.52,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x3.2,26.9,3.2,2.38,1.7,3.4,8.5,12,0.44,1.27,1.26,3.41,0.01,3.4,2.53,1.81,1.43,1.52,55.95,20.58,0.42,1.9,0.09,238,357.14,4.41,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 26.9x3.6,26.9,3.6,2.64,1.83,3.66,8.3,11.8,0.47,1.36,1.41,3.66,0.01,3.65,2.72,1.97,1.45,1.68,61.87,22.76,0.46,2.1,0.09,264,321.97,4.26,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x2.6,33.7,2.6,2.54,3.09,6.18,11,15.6,0.62,1.84,1.3,6.19,0.02,6.17,3.67,2.52,1.37,1.62,59.67,21.94,0.59,2,0.11,254,417.32,7.6,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x2.9,33.7,2.9,2.81,3.36,6.72,10.9,15.4,0.67,1.99,1.45,6.71,0.02,6.69,3.98,2.76,1.39,1.79,65.91,24.24,0.65,2.2,0.11,281,377.22,7.45,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x3.2,33.7,3.2,3.07,3.6,7.2,10.8,15.3,0.73,2.14,1.59,7.21,0.02,7.19,4.28,2.99,1.4,1.95,72.01,26.48,0.7,2.4,0.11,307,345.28,7.31,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x3.6,33.7,3.6,3.4,3.91,7.82,10.7,15.1,0.79,2.32,1.78,7.82,0.02,7.8,4.64,3.28,1.41,2.17,79.94,29.4,0.77,2.7,0.11,340,311.77,7.12,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x4,33.7,4,3.73,4.19,8.38,10.6,15,0.85,2.49,1.98,8.38,0.03,8.35,4.97,3.55,1.43,2.38,87.64,32.24,0.83,2.9,0.11,373,284.18,6.93,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 33.7x4.5,33.7,4.5,4.13,4.5,9,10.4,14.7,0.92,2.67,2.21,9.01,0.03,8.98,5.35,3.87,1.45,2.63,96.92,35.66,0.91,3.2,0.11,413,256.66,6.7,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x2.6,42.4,2.6,3.25,6.46,12.92,14.1,19.9,1.01,3.05,1.66,12.9,0.04,12.86,6.1,4.12,1.35,2.07,76.39,28.08,0.97,2.6,0.13,325,409.23,12.44,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x2.9,42.4,2.9,3.6,7.06,14.12,14,19.8,1.11,3.33,1.84,14.1,0.05,14.05,6.66,4.53,1.36,2.29,84.55,31.08,1.06,2.8,0.13,360,369.44,12.25,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x3.2,42.4,3.2,3.94,7.62,15.24,13.9,19.7,1.2,3.59,2.03,15.2,0.05,15.15,7.19,4.93,1.37,2.51,92.57,34.04,1.16,3.1,0.13,394,337.56,12.07,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x3.6,42.4,3.6,4.39,8.33,16.66,13.8,19.5,1.32,3.93,2.27,16.7,0.05,16.65,7.86,5.44,1.38,2.79,103.07,37.9,1.28,3.4,0.13,439,302.96,11.82,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x4,42.4,4,4.83,8.99,17.98,13.6,19.2,1.44,4.24,2.51,18,0.06,17.94,8.48,5.92,1.4,3.07,113.33,41.68,1.39,3.8,0.13,483,275.36,11.58,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 42.4x4.5,42.4,4.5,5.36,9.76,19.52,13.5,19.1,1.57,4.6,2.81,19.5,0.06,19.44,9.2,6.49,1.41,3.41,125.82,46.28,1.52,4.2,0.13,536,248.13,11.28,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x2.6,48.3,2.6,3.73,9.78,19.56,16.2,22.9,1.34,4.05,1.9,19.6,0.06,19.54,8.1,5.44,1.34,2.38,87.73,32.24,1.28,2.9,0.15,373,407.51,16.4,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x2.9,48.3,2.9,4.14,10.7,21.4,16.1,22.8,1.47,4.43,2.11,21.4,0.07,21.33,8.86,5.99,1.35,2.63,97.19,35.73,1.41,3.2,0.15,414,367.15,16.19,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x3.2,48.3,3.2,4.53,11.6,23.2,16,22.6,1.6,4.8,2.32,23.2,0.07,23.13,9.59,6.52,1.36,2.89,106.52,39.16,1.53,3.6,0.15,453,335.54,15.98,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x3.6,48.3,3.6,5.06,12.7,25.4,15.9,22.5,1.76,5.26,2.59,25.4,0.08,25.32,10.5,7.21,1.37,3.22,118.76,43.67,1.69,4,0.15,506,300.4,15.69,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x4,48.3,4,5.57,13.8,27.6,15.7,22.2,1.92,5.7,2.89,27.5,0.09,27.41,11.4,7.87,1.38,3.54,130.76,48.08,1.85,4.4,0.15,557,272.89,15.41,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x4.5,48.3,4.5,6.19,15,30,15.6,22.1,2.1,6.21,3.21,30,0.1,29.9,12.4,8.66,1.4,3.94,145.43,53.48,2.03,4.9,0.15,619,245.56,15.07,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x5,48.3,5,6.8,16.2,32.4,15.4,21.8,2.28,6.69,3.58,32.3,0.1,32.2,13.4,9.42,1.41,4.33,159.73,58.75,2.21,5.3,0.15,680,223.53,14.73,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x5.6,48.3,5.6,7.51,17.4,34.8,15.2,21.5,2.47,7.21,3.96,34.8,0.11,34.69,14.4,10.3,1.43,4.78,176.4,64.89,2.41,5.9,0.15,751,202.4,14.32,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 48.3x6.3,48.3,6.3,8.31,18.7,37.4,15,21.2,2.68,7.76,4.42,37.5,0.12,37.38,15.5,11.2,1.44,5.29,195.18,71.8,2.63,6.5,0.15,831,182.91,13.85,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x2.6,60.3,2.6,4.71,19.7,39.4,20.4,28.8,2.14,6.52,2.4,39.3,0.11,39.19,13,8.66,1.33,3,110.8,40.71,2.04,3.7,0.19,471,401.27,26.15,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x2.9,60.3,2.9,5.23,21.6,43.2,20.3,28.7,2.36,7.16,2.65,43.2,0.14,43.06,14.3,9.56,1.34,3.33,122.92,45.17,2.25,4.1,0.19,523,361.38,25.88,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
Celsius 355 CHS 60.3x3.2,60.3,3.2,5.74,23.5,47,20.2,28.6,2.57,7.78,2.93,46.9,0.15,46.75,15.6,10.4,1.34,3.65,134.91,49.58,2.45,4.5,0.19,574,329.27,25.61,https://www.dlubal.com/en/cross-section-properties/series-celsius-355-chs-en-10210-2-2006-04-tata-steel
